angle,distance,intensity
-79.738,8.286000252,40
-79.562,8.123999596,40
-79.386,7.973999977,41
-79.21,inf,0
-79.034,inf,0
-78.858,inf,0
-78.682,inf,0
-78.506,inf,0
-78.33,inf,0
-78.154,7.105999947,48
-77.978,6.978000164,51
-77.802,6.880000114,57
-77.626,6.881999969,62
-77.45,6.883999825,64
-77.274,6.883999825,65
-77.098,6.889999866,65
-76.922,6.903999805,65
-76.746,inf,0
-76.57,inf,0
-76.394,inf,0
-76.218,4.644000053,111
-76.042,4.65199995,81
-75.866,4.671999931,84
-75.69,4.664000034,84
-75.514,4.624000072,82
-75.338,4.56799984,82
-75.162,4.56400013,81
-74.986,4.565999985,84
-74.81,4.576000214,85
-74.634,4.56400013,84
-74.458,4.579999924,83
-74.282,4.576000214,83
-74.106,4.584000111,83
-73.93,4.585999966,83
-73.754,4.581999779,85
-73.578,4.59800005,83
-73.402,4.59800005,84
-73.226,4.592000008,85
-73.05,4.610000134,84
-72.874,4.618000031,83
-72.698,4.627999783,83
-72.522,4.613999844,85
-72.346,4.618000031,86
-72.17,4.631999969,84
-71.994,4.631999969,85
-71.818,4.627999783,84
-71.642,4.633999825,84
-71.466,4.650000095,84
-71.29,4.639999866,84
-71.114,4.631999969,80
-70.938,4.587999821,78
-70.762,4.538000107,75
-70.586,4.486000061,73
-70.41,4.449999809,73
-70.234,4.403999805,72
-70.058,4.381999969,72
-69.882,4.322000027,73
-69.706,4.296000004,76
-69.53,4.243999958,74
-69.354,4.21999979,75
-69.178,4.190000057,74
-69.002,4.15199995,75
-68.826,4.124000072,74
-68.65,4.09800005,75
-68.474,4.053999901,74
-68.298,4.021999836,76
-68.122,3.986000061,76
-67.946,3.960000038,75
-67.77,3.930000067,76
-67.594,3.910000086,75
-67.418,3.869999886,76
-67.242,3.855999947,76
-67.066,3.819999933,78
-66.89,3.788000107,77
-66.714,3.747999907,78
-66.538,3.732000113,76
-66.362,3.703999996,77
-66.186,3.676000118,77
-66.01,3.648000002,78
-65.834,3.628000021,78
-65.658,3.59800005,79
-65.482,3.589999914,79
-65.306,3.558000088,79
-65.13,3.548000097,79
-64.954,3.50999999,80
-64.778,3.497999907,79
-64.602,3.45600009,80
-64.426,3.440000057,80
-64.25,3.415999889,80
-64.074,3.400000095,80
-63.898,3.369999886,80
-63.722,3.345999956,80
-63.546,3.312000036,80
-63.37,3.298000097,81
-63.194,3.288000107,81
-63.018,3.266000032,81
-62.842,3.242000103,82
-62.666,3.230000019,81
-62.49,3.20600009,81
-62.314,3.197999954,81
-62.138,3.157999992,80
-61.962,3.144000053,82
-61.786,3.118000031,82
-61.61,3.115999937,82
-61.434,3.119999886,81
-61.258,3.082000017,81
-61.082,3.052000046,82
-60.906,3.036000013,82
-60.73,3.023999929,82
-60.554,3.002000093,83
-60.378,2.976000071,83
-60.202,2.982000113,83
-60.026,2.953999996,85
-59.85,2.944000006,84
-59.674,2.926000118,83
-59.498,2.907999992,83
-59.322,2.894000053,83
-59.146,2.871999979,84
-58.97,2.85800004,83
-58.794,2.84800005,82
-58.618,2.823999882,83
-58.442,2.823999882,85
-58.266,2.79399991,85
-58.09,2.776000023,84
-57.914,2.776000023,83
-57.738,2.762000084,84
-57.562,2.753999949,86
-57.386,2.730000019,85
-57.21,2.723999977,83
-57.034,2.707999945,85
-56.858,2.691999912,85
-56.682,2.670000076,85
-56.506,2.670000076,85
-56.33,2.661999941,85
-56.154,2.65199995,84
-55.978,2.644000053,84
-55.802,2.625999928,85
-55.626,2.604000092,86
-55.45,2.592000008,86
-55.274,2.575999975,84
-55.098,2.572000027,85
-54.922,2.562000036,86
-54.746,2.552000046,86
-54.57,2.529999971,86
-54.394,2.519999981,87
-54.218,2.513999939,86
-54.042,2.486000061,88
-53.866,2.492000103,86
-53.69,2.473999977,86
-53.514,2.476000071,86
-53.338,2.450000048,85
-53.162,2.467999935,86
-52.986,2.440000057,87
-52.81,2.431999922,88
-52.634,2.420000076,87
-52.458,2.405999899,87
-52.282,2.407999992,87
-52.106,2.385999918,87
-51.93,2.375999928,86
-51.754,2.384000063,87
-51.578,2.371999979,88
-51.402,2.355999947,88
-51.226,2.338000059,87
-51.05,2.329999924,86
-50.874,2.322000027,89
-50.698,2.319999933,88
-50.522,2.313999891,87
-50.346,2.309999943,88
-50.17,2.299999952,87
-49.994,2.267999887,88
-49.818,2.273999929,89
-49.642,2.263999939,89
-49.466,2.266000032,88
-49.29,2.242000103,88
-49.114,2.233999968,87
-48.938,2.226000071,88
-48.762,2.232000113,88
-48.586,2.211999893,89
-48.41,2.201999903,89
-48.234,2.207999945,88
-48.058,2.181999922,87
-47.882,2.167999983,88
-47.706,2.167999983,89
-47.53,2.157999992,88
-47.354,2.155999899,90
-47.178,2.14199996,89
-47.002,2.125999928,87
-46.826,2.125999928,88
-46.65,2.134000063,90
-46.474,2.130000114,89
-46.298,2.115999937,90
-46.122,2.114000082,91
-45.946,2.104000092,89
-45.77,2.088000059,89
-45.594,2.072000027,90
-45.418,2.073999882,90
-45.242,2.062000036,90
-45.066,2.059999943,89
-44.89,2.053999901,89
-44.714,2.049999952,90
-44.538,2.049999952,90
-44.362,2.04399991,89
-44.186,2.036000013,89
-44.01,2.022000074,90
-43.834,2.016000032,92
-43.658,2.016000032,91
-43.482,2.019999981,91
-43.306,2.00999999,92
-43.13,2.00999999,91
-42.954,2.002000093,91
-42.778,1.991999984,91
-42.602,1.981999993,91
-42.426,1.973999977,91
-42.25,1.981999993,93
-42.074,1.981999993,91
-41.898,1.972000003,91
-41.722,1.947999954,91
-41.546,1.94599998,92
-41.37,1.934000015,92
-41.194,1.953999996,91
-41.018,1.934000015,91
-40.842,1.937999964,92
-40.666,1.940000057,93
-40.49,1.911999941,93
-40.314,1.911999941,91
-40.138,1.907999992,93
-39.962,1.906000018,92
-39.786,1.898000002,94
-39.61,1.904000044,94
-39.434,1.886000037,92
-39.258,1.883999944,93
-39.082,1.873999953,93
-38.906,1.870000005,94
-38.73,1.85800004,92
-38.554,1.868000031,94
-38.378,1.855999947,92
-38.202,1.85800004,94
-38.026,1.84800005,94
-37.85,1.832000017,93
-37.674,1.845999956,93
-37.498,1.830000043,95
-37.322,1.843999982,94
-37.146,1.833999991,94
-36.97,1.817999959,94
-36.794,1.822000027,94
-36.618,1.807999969,94
-36.442,1.807999969,95
-36.266,1.817999959,96
-36.09,1.805999994,94
-35.914,1.805999994,94
-35.738,1.802000046,94
-35.562,1.79400003,95
-35.386,1.789999962,95
-35.21,1.781999946,95
-35.034,1.784000039,94
-34.858,1.786000013,94
-34.682,1.781999946,94
-34.506,1.766000032,94
-34.33,1.769999981,95
-34.154,1.758000016,94
-33.978,1.751999974,95
-33.802,1.75999999,95
-33.626,1.74000001,95
-33.45,1.75,96
-33.274,1.730000019,95
-33.098,1.74000001,96
-32.922,1.738000035,94
-32.746,1.718000054,95
-32.57,1.730000019,97
-32.394,1.735999942,97
-32.218,1.718000054,94
-32.042,1.718000054,95
-31.866,1.718000054,97
-31.69,1.70599997,95
-31.514,1.702000022,96
-31.338,1.710000038,96
-31.162,1.707999945,96
-30.986,1.687999964,97
-30.81,1.690000057,95
-30.634,1.690000057,97
-30.458,1.700000048,95
-30.282,1.694000006,96
-30.106,1.675999999,97
-29.93,1.679999948,96
-29.754,1.659999967,95
-29.578,1.664000034,96
-29.402,1.677999973,96
-29.226,1.664000034,94
-29.05,1.654000044,97
-28.874,1.666000009,95
-28.698,1.654000044,96
-28.522,1.654000044,95
-28.346,1.648000002,97
-28.17,1.654000044,96
-27.994,1.649999976,95
-27.818,1.649999976,95
-27.642,1.64199996,96
-27.466,1.644000053,96
-27.29,1.626000047,99
-27.114,1.628000021,96
-26.938,1.633999944,98
-26.762,1.629999995,97
-26.586,1.638000011,97
-26.41,1.631999969,97
-26.234,1.620000005,97
-26.058,1.620000005,98
-25.882,1.618000031,97
-25.706,1.601999998,98
-25.53,1.601999998,97
-25.354,1.616000056,97
-25.178,1.613999963,96
-25.002,1.600000024,97
-24.826,1.601999998,97
-24.65,1.601999998,97
-24.474,1.600000024,96
-24.298,1.603999972,97
-24.122,1.585999966,96
-23.946,1.580000043,99
-23.77,1.592000008,98
-23.594,1.583999991,97
-23.418,1.580000043,98
-23.242,1.572000027,99
-23.066,1.572000027,98
-22.89,1.570000052,98
-22.714,1.570000052,98
-22.538,1.580000043,96
-22.362,1.565999985,97
-22.186,1.565999985,97
-22.01,1.56400001,97
-21.834,1.565999985,98
-21.658,1.549999952,97
-21.482,1.549999952,98
-21.306,1.555999994,97
-21.13,1.552000046,98
-20.954,1.54400003,96
-20.778,1.54400003,97
-20.602,1.549999952,97
-20.426,1.542000055,96
-20.25,1.546000004,99
-20.074,1.54400003,99
-19.898,1.536000013,98
-19.722,1.542000055,99
-19.546,1.546000004,100
-19.37,1.542000055,97
-19.194,1.534000039,98
-19.018,1.546000004,99
-18.842,1.546000004,98
-18.666,1.534000039,98
-18.49,1.521999955,97
-18.314,1.524000049,100
-18.138,1.519999981,98
-17.962,1.519999981,97
-17.786,1.521999955,97
-17.61,1.511999965,98
-17.434,1.527999997,97
-17.258,1.516000032,97
-17.082,1.508000016,97
-16.906,1.521999955,99
-16.73,1.524000049,99
-16.554,1.508000016,99
-16.378,1.514000058,98
-16.202,1.514000058,97
-16.026,1.508000016,99
-15.85,1.506000042,98
-15.674,1.493999958,99
-15.498,1.49000001,97
-15.322,1.514000058,99
-15.146,1.508000016,99
-14.97,1.493999958,99
-14.794,1.493999958,97
-14.618,1.496000051,98
