«ø∂»,æ‡¿Î
98,0.360000014
97,0.356000006
99,0.354000002
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
97,0.35800001
0, inf
0, inf
0, inf
95,0.365999997
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
79,0.307999998
82,0.312000006
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
68,0.233999997
0, inf
0, inf
0, inf
0, inf
64,0.216000006
64,0.222000003
63,0.219999999
65,0.217999995
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
65,0.211999997
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
61,0.206
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
64,0.206
0, inf
0, inf
0, inf
66,0.216000006
65,0.217999995
63,0.219999999
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
65,0.217999995
63,0.219999999
63,0.219999999
64,0.222000003
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
66,0.228
65,0.225999996
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
66,0.219999999
65,0.217999995
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
65,0.238000005
63,0.231999993
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
32,0.186000004
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
60,0.246000007
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
67,0.266000003
66,0.261999995
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
66,0.294
67,0.287999988
0, inf
0, inf
0, inf
0, inf
70,0.301999986
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
123,0.512000024
119,0.527999997
119,0.518000007
117,0.533999979
115,0.541999996
111,0.541999996
109,0.536000013
106,0.547999978
104,0.550000012
0, inf
0, inf
0, inf
105,0.550000012
104,0.550000012
102,0.550000012
105,0.547999978
105,0.565999985
106,0.550000012
104,0.565999985
105,0.550000012
103,0.56400001
105,0.547999978
104,0.540000021
105,0.555999994
103,0.56400001
104,0.561999977
104,0.55400002
105,0.537999988
104,0.546000004
0, inf
0, inf
0, inf
